,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
0,2022-01-05,1,381.68
1,2022-01-05,1,936.87
2,2022-01-05,7,373.94
3,2022-01-05,1,101.04
4,2022-01-05,2,70.71
5,2022-01-05,2,187.66
6,2022-01-05,1,8676.24
7,2022-01-05,3,55.54
8,2022-01-05,1,1097.11
9,2022-01-05,1,1097.11
10,2022-01-05,1,1097.11
11,2022-01-05,1,1028.68
12,2022-01-05,1,1028.68
13,2022-01-05,1,1399.03
14,2022-01-05,1,1353.2
15,2022-01-05,5,42.9
16,2022-01-05,2,647.28
17,2022-01-05,3,-16.9
18,2022-01-05,5,742.6
19,2022-01-05,7,745.53
20,2022-01-05,3,468.92
21,2022-01-07,3,790.77
22,2022-01-07,1,459.17
23,2022-01-07,1,565.6
24,2022-01-07,2,1499.64
25,2022-01-07,3,766.11
26,2022-01-07,5,361.0
27,2022-01-07,6,330.86
28,2022-01-07,2,1516.07
29,2022-01-07,30,993.88
30,2022-01-10,6,560.8
31,2022-01-10,30,993.88
32,2022-01-10,1,422.63
33,2022-01-11,10,81.56
34,2022-01-11,10,137.64
35,2022-01-11,1,376.34
36,2022-01-11,1,440.22
37,2022-01-11,1,655.95
38,2022-01-12,40,194.75
39,2022-01-12,1,776.8
40,2022-01-12,3,11210.86
41,2022-01-12,9,517.5
42,2022-01-12,10,423.17
43,2022-01-12,8,830.46
44,2022-01-13,2,500.3
45,2022-01-14,1,662.71
46,2022-01-14,2,603.38
47,2022-01-14,2,365.96
48,2022-01-14,4,336.64
49,2022-01-14,1,1954.74
50,2022-01-17,5,445.71
51,2022-01-17,1,165.0
52,2022-01-17,1,288.64
53,2022-01-17,2,593.02
54,2022-01-17,2,659.94
55,2022-01-17,1,944.45
56,2022-01-17,1,950.45
57,2022-01-17,4,560.3
58,2022-01-18,1,333.68
59,2022-01-19,2,488.91
60,2022-01-19,2,488.91
61,2022-01-19,3,855.86
62,2022-01-19,3,740.32
63,2022-01-19,6,567.18
64,2022-01-19,2,337.4
65,2022-01-19,8,1904.85
66,2022-01-19,2,343.6
67,2022-01-19,4,879.42
68,2022-01-20,4,1848.54
69,2022-01-20,2,470.62
70,2022-01-20,1,-36.71
71,2022-01-21,10,310.38
72,2022-01-21,1,312.07
73,2022-01-21,1,522.18
74,2022-01-21,30,1199.8
75,2022-01-21,3,799.61
76,2022-01-24,10,1077.33
77,2022-01-24,6,1089.5
78,2022-01-24,6,1112.03
79,2022-01-24,8,301.53
80,2022-01-24,10,194.87
81,2022-01-24,2,910.29
82,2022-01-24,2,1422.06
83,2022-01-24,2,2599.65
84,2022-01-25,1,480.75
85,2022-01-25,12,335.54
86,2022-01-25,12,396.65
87,2022-01-25,1,1587.53
88,2022-01-25,20,78.75
89,2022-01-26,1,59.04
90,2022-01-26,3,466.92
91,2022-01-26,1,446.2
92,2022-01-27,1,1223.06
93,2022-01-27,1,68.8
94,2022-01-28,1,385.78
95,2022-01-28,3,652.48
96,2022-01-28,3,1028.97
97,2022-01-28,3,1065.41
98,2022-01-28,2,427.58
99,2022-01-28,1,53.75
100,2022-01-28,1,99.11
101,2022-01-31,2,1411.2
102,2022-01-31,2,1423.12
103,2022-01-31,2,769.82
104,2022-01-31,1,537.73
105,2022-01-31,1,1082.33
106,2022-01-31,4,474.47
107,2022-01-31,1,2462.2
108,2022-01-31,1,430.69
109,2022-01-31,2,859.28
110,2022-01-31,1,924.61
111,2022-01-31,4,1939.45
112,2022-01-31,2,1631.5
113,2022-01-31,1,1711.39
114,2022-01-31,1,968.06
115,2022-01-31,4,549.79
116,2022-01-31,2,472.24
117,2022-01-31,1,184.12
118,2022-02-01,1,773.77
119,2022-02-01,4,295.0
120,2022-02-01,2,348.42
121,2022-02-02,1,165.0
122,2022-02-02,2,3399.32
123,2022-02-02,1,184.12
124,2022-02-02,1,696.74
125,2022-02-02,3,269.29
126,2022-02-02,2,853.06
127,2022-02-03,1,475.22
128,2022-02-03,4,194.81
129,2022-02-03,4,841.37
130,2022-02-03,4,641.74
131,2022-02-03,4,558.26
132,2022-02-03,1,994.22
133,2022-02-03,1,990.64
134,2022-02-04,15,723.93
135,2022-02-04,1,242.0
136,2022-02-04,1,2270.16
137,2022-02-04,1,1437.95
138,2022-02-08,12,1273.91
139,2022-02-08,4,382.81
140,2022-02-08,10,623.22
141,2022-02-08,3,1344.38
142,2022-02-08,7,652.01
143,2022-02-08,2,1734.63
144,2022-02-09,2,854.1
145,2022-02-09,3,3441.4
146,2022-02-09,1,388.64
147,2022-02-09,4,1829.91
148,2022-02-09,3,1064.42
149,2022-02-10,3,485.15
150,2022-02-10,3,2262.15
151,2022-02-10,3,561.61
152,2022-02-10,2,591.1
153,2022-02-10,2,244.26
154,2022-02-11,10,712.73
155,2022-02-11,6,401.61
156,2022-02-11,1,220.4
157,2022-02-11,2,748.52
158,2022-02-11,3,188.37
159,2022-02-14,3,1808.25
160,2022-02-14,4,652.99
161,2022-02-14,4,637.57
162,2022-02-14,2,383.08
163,2022-02-14,1,645.38
164,2022-02-14,3,313.28
165,2022-02-14,2,839.25
166,2022-02-14,2,593.19
167,2022-02-14,1,1301.44
168,2022-02-14,6,180.11
169,2022-02-14,1,230.38
170,2022-02-14,6,478.41
171,2022-02-14,1,2116.32
172,2022-02-15,2,404.56
173,2022-02-15,1,1837.41
174,2022-02-15,1,692.77
175,2022-02-16,2,93.64
176,2022-02-16,8,276.36
177,2022-02-16,2,1411.2
178,2022-02-16,8,269.05
179,2022-02-17,2,1846.62
180,2022-02-17,1,284.87
181,2022-02-17,1,961.35
182,2022-02-17,1,849.67
183,2022-02-17,3,743.0
184,2022-02-17,2,301.17
185,2022-02-18,11,826.56
186,2022-02-18,6,1159.06
187,2022-02-18,4,439.96
188,2022-02-18,2,623.3
189,2022-02-18,2,701.26
190,2022-02-18,2,412.39
191,2022-02-18,3,5438.17
192,2022-02-18,2,80.87
193,2022-02-21,1,585.82
194,2022-02-21,1,1294.59
195,2022-02-21,6,1213.75
196,2022-02-22,5,424.06
197,2022-02-22,1,653.35
198,2022-02-22,1,591.1
199,2022-02-22,18,638.07
200,2022-02-22,2,1141.31
201,2022-02-22,1,165.0
